center,left,right,steering,throttle,brake,speed
normal\IMG\center_2018_04_20_13_47_46_447.jpg,normal\IMG\left_2018_04_20_13_47_46_447.jpg,normal\IMG\right_2018_04_20_13_47_46_447.jpg,-0.14343770000000006,1.0,0,7.683011
normal\IMG\center_2018_04_20_13_47_46_519.jpg,normal\IMG\left_2018_04_20_13_47_46_519.jpg,normal\IMG\right_2018_04_20_13_47_46_519.jpg,0.0,1.0,0,8.355514999999999
normal\IMG\center_2018_04_20_13_47_46_593.jpg,normal\IMG\left_2018_04_20_13_47_46_593.jpg,normal\IMG\right_2018_04_20_13_47_46_593.jpg,0.0,1.0,0,9.254233
normal\IMG\center_2018_04_20_13_47_46_667.jpg,normal\IMG\left_2018_04_20_13_47_46_667.jpg,normal\IMG\right_2018_04_20_13_47_46_667.jpg,-0.2,1.0,0,10.13727
normal\IMG\center_2018_04_20_13_47_46_738.jpg,normal\IMG\left_2018_04_20_13_47_46_738.jpg,normal\IMG\right_2018_04_20_13_47_46_738.jpg,-0.003253587,1.0,0,10.80024
normal\IMG\center_2018_04_20_13_47_46_822.jpg,normal\IMG\left_2018_04_20_13_47_46_822.jpg,normal\IMG\right_2018_04_20_13_47_46_822.jpg,0.0,1.0,0,11.51403
normal\IMG\center_2018_04_20_13_47_46_960.jpg,normal\IMG\left_2018_04_20_13_47_46_960.jpg,normal\IMG\right_2018_04_20_13_47_46_960.jpg,0.0,1.0,0,13.09201
normal\IMG\center_2018_04_20_13_47_47_038.jpg,normal\IMG\left_2018_04_20_13_47_47_038.jpg,normal\IMG\right_2018_04_20_13_47_47_038.jpg,0.0,1.0,0,14.103420000000002
normal\IMG\center_2018_04_20_13_47_47_120.jpg,normal\IMG\left_2018_04_20_13_47_47_120.jpg,normal\IMG\right_2018_04_20_13_47_47_120.jpg,0.0,1.0,0,14.96546
normal\IMG\center_2018_04_20_13_47_47_256.jpg,normal\IMG\left_2018_04_20_13_47_47_256.jpg,normal\IMG\right_2018_04_20_13_47_47_256.jpg,-0.2,1.0,0,16.35451
normal\IMG\center_2018_04_20_13_47_47_329.jpg,normal\IMG\left_2018_04_20_13_47_47_329.jpg,normal\IMG\right_2018_04_20_13_47_47_329.jpg,-0.4,1.0,0,17.148410000000002
normal\IMG\center_2018_04_20_13_47_47_401.jpg,normal\IMG\left_2018_04_20_13_47_47_401.jpg,normal\IMG\right_2018_04_20_13_47_47_401.jpg,-0.2336319,1.0,0,17.78657
normal\IMG\center_2018_04_20_13_47_47_477.jpg,normal\IMG\left_2018_04_20_13_47_47_477.jpg,normal\IMG\right_2018_04_20_13_47_47_477.jpg,-0.006105595,1.0,0,18.58918
normal\IMG\center_2018_04_20_13_47_47_553.jpg,normal\IMG\left_2018_04_20_13_47_47_553.jpg,normal\IMG\right_2018_04_20_13_47_47_553.jpg,0.0,1.0,0,19.40505
normal\IMG\center_2018_04_20_13_47_47_627.jpg,normal\IMG\left_2018_04_20_13_47_47_627.jpg,normal\IMG\right_2018_04_20_13_47_47_627.jpg,0.0,1.0,0,20.21983
normal\IMG\center_2018_04_20_13_47_47_699.jpg,normal\IMG\left_2018_04_20_13_47_47_699.jpg,normal\IMG\right_2018_04_20_13_47_47_699.jpg,0.0,1.0,0,20.83259
normal\IMG\center_2018_04_20_13_47_47_773.jpg,normal\IMG\left_2018_04_20_13_47_47_773.jpg,normal\IMG\right_2018_04_20_13_47_47_773.jpg,0.0,1.0,0,21.63232
normal\IMG\center_2018_04_20_13_47_47_845.jpg,normal\IMG\left_2018_04_20_13_47_47_845.jpg,normal\IMG\right_2018_04_20_13_47_47_845.jpg,0.0,1.0,0,22.42552
normal\IMG\center_2018_04_20_13_47_47_916.jpg,normal\IMG\left_2018_04_20_13_47_47_916.jpg,normal\IMG\right_2018_04_20_13_47_47_916.jpg,-0.15,1.0,0,23.00762000000001
normal\IMG\center_2018_04_20_13_47_47_988.jpg,normal\IMG\left_2018_04_20_13_47_47_988.jpg,normal\IMG\right_2018_04_20_13_47_47_988.jpg,-0.000139825,1.0,0,23.78967
normal\IMG\center_2018_04_20_13_47_48_059.jpg,normal\IMG\left_2018_04_20_13_47_48_059.jpg,normal\IMG\right_2018_04_20_13_47_48_059.jpg,0.0,1.0,0,24.37096
normal\IMG\center_2018_04_20_13_47_48_132.jpg,normal\IMG\left_2018_04_20_13_47_48_132.jpg,normal\IMG\right_2018_04_20_13_47_48_132.jpg,0.0,1.0,0,25.14244
normal\IMG\center_2018_04_20_13_47_48_204.jpg,normal\IMG\left_2018_04_20_13_47_48_204.jpg,normal\IMG\right_2018_04_20_13_47_48_204.jpg,-0.2,1.0,0,25.8898
normal\IMG\center_2018_04_20_13_47_48_276.jpg,normal\IMG\left_2018_04_20_13_47_48_276.jpg,normal\IMG\right_2018_04_20_13_47_48_276.jpg,-0.35,1.0,0,26.40273
normal\IMG\center_2018_04_20_13_47_48_348.jpg,normal\IMG\left_2018_04_20_13_47_48_348.jpg,normal\IMG\right_2018_04_20_13_47_48_348.jpg,-0.5500001,1.0,0,27.01123
