center,left,right,speed,steering,throttle,brake
recovery\IMG\center_2018_04_19_16_35_58_847.jpg,recovery\IMG\left_2018_04_19_16_35_58_847.jpg,recovery\IMG\right_2018_04_19_16_35_58_847.jpg,22.04322,0.6500001,0,0
recovery\IMG\center_2018_04_19_16_35_58_942.jpg,recovery\IMG\left_2018_04_19_16_35_58_942.jpg,recovery\IMG\right_2018_04_19_16_35_58_942.jpg,21.63973,0.8500001,0,0
recovery\IMG\center_2018_04_19_16_35_59_012.jpg,recovery\IMG\left_2018_04_19_16_35_59_012.jpg,recovery\IMG\right_2018_04_19_16_35_59_012.jpg,21.19569,1,0,0
recovery\IMG\center_2018_04_19_16_35_59_093.jpg,recovery\IMG\left_2018_04_19_16_35_59_093.jpg,recovery\IMG\right_2018_04_19_16_35_59_093.jpg,21.01671,0.7558902,0,0
recovery\IMG\center_2018_04_19_16_35_59_176.jpg,recovery\IMG\left_2018_04_19_16_35_59_176.jpg,recovery\IMG\right_2018_04_19_16_35_59_176.jpg,20.89736,0.5056414,0,0
recovery\IMG\center_2018_04_19_16_35_59_262.jpg,recovery\IMG\left_2018_04_19_16_35_59_262.jpg,recovery\IMG\right_2018_04_19_16_35_59_262.jpg,20.72916,0.2508509,0,0
recovery\IMG\center_2018_04_19_16_35_59_333.jpg,recovery\IMG\left_2018_04_19_16_35_59_333.jpg,recovery\IMG\right_2018_04_19_16_35_59_333.jpg,20.46296,0.03290962,0,0
recovery\IMG\center_2018_04_19_16_35_59_447.jpg,recovery\IMG\left_2018_04_19_16_35_59_447.jpg,recovery\IMG\right_2018_04_19_16_35_59_447.jpg,20.19209,0,0,0
recovery\IMG\center_2018_04_19_16_35_59_531.jpg,recovery\IMG\left_2018_04_19_16_35_59_531.jpg,recovery\IMG\right_2018_04_19_16_35_59_531.jpg,20.25882,0,0.245149,0
recovery\IMG\center_2018_04_19_16_35_59_605.jpg,recovery\IMG\left_2018_04_19_16_35_59_605.jpg,recovery\IMG\right_2018_04_19_16_35_59_605.jpg,20.55906,0,0.4752554,0
recovery\IMG\center_2018_04_19_16_35_59_718.jpg,recovery\IMG\left_2018_04_19_16_35_59_718.jpg,recovery\IMG\right_2018_04_19_16_35_59_718.jpg,21.35684,0,0.8117562,0
recovery\IMG\center_2018_04_19_16_35_59_792.jpg,recovery\IMG\left_2018_04_19_16_35_59_792.jpg,recovery\IMG\right_2018_04_19_16_35_59_792.jpg,22.13634,0,1,0
recovery\IMG\center_2018_04_19_16_35_59_887.jpg,recovery\IMG\left_2018_04_19_16_35_59_887.jpg,recovery\IMG\right_2018_04_19_16_35_59_887.jpg,22.81532,0,0.7177555,0
